FID,INDICATIVO,NOMBRE,PROVINCIA,ALTITUD,COORD_X,COORD_Y,VAR_OBSVER,DATUM,TIPO
302,5470,FUENTE PALMERA-LOS ARROYONES,CORDOBA,120.000000000000000,314950.000000000000000,4180495.000000000000000,hHVmtTMpP,ETRS89,AUTOMATICAS
303,5473X,AZUAGA,BADAJOZ,581.000000000000000,265006.000000000000000,4238941.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
304,5515D,EVC_VÍZNAR,GRANADA,1250.000000000000000,452620.000000000000000,4121323.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
305,5515X,GRANADA-CARTUJA,GRANADA,775.000000000000000,447141.000000000000000,4116085.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
306,5582A,LOJA,GRANADA,594.000000000000000,397645.000000000000000,4113368.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
307,5598X,BENAMEJÍ-ALCACHOFARES ALTOS,CORDOBA,465.000000000000000,362698.000000000000000,4121603.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
308,5612X,LORA DE ESTEPA,SEVILLA,450.000000000000000,338015.000000000000000,4126421.000000000000000,hHmtTMpP,ETRS89,AUTOMATICAS
309,5624X,"AGUILAR, LAGUNA ZOÑAR",CORDOBA,309.000000000000000,350948.000000000000000,4149673.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
310,5625X,"LA RAMBLA, PRIVILEGIO",CORDOBA,200.000000000000000,344372.000000000000000,4167183.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
311,5641X,ÉCIJA,SEVILLA,130.000000000000000,315736.000000000000000,4154172.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
312,5654X,LA PUEBLA DE LOS INFANTES,SEVILLA,200.000000000000000,291206.000000000000000,4184795.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
313,5656,"FUENTES DE ANDALUCÍA, EL TRAVIESO",SEVILLA,165.000000000000000,284917.000000000000000,4152815.000000000000000,hHVmtTMpP,ETRS89,AUTOMATICAS
314,5702X,"CARMONA, VILLEGAS",SEVILLA,50.000000000000000,257950.000000000000000,4161147.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
315,5704B,CAZALLA DE LA SIERRA,SEVILLA,550.000000000000000,256560.000000000000000,4201268.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
316,5726X,"GUADALCANAL, CRISTO",SEVILLA,720.000000000000000,252795.000000000000000,4220605.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
